Time (s) - Plot 0	Resistivity (Ohm*cm) - Plot 0	
410,584	2,28E+0	
412,093	2,28E+0	
413,601	2,28E+0	
415,108	2,28E+0	
416,617	2,28E+0	
418,126	2,28E+0	
419,635	2,28E+0	
421,143	2,28E+0	
422,649	2,28E+0	
424,158	2,28E+0	
425,667	2,28E+0	
427,176	2,28E+0	
428,685	2,28E+0	
430,191	2,27E+0	
431,7	2,27E+0	
433,209	2,27E+0	
434,718	2,27E+0	
436,226	2,27E+0	
437,733	2,27E+0	
439,242	2,27E+0	
440,751	2,27E+0	
442,26	2,27E+0	
443,768	2,27E+0	
445,275	2,27E+0	
446,784	2,27E+0	
448,293	2,27E+0	
449,802	2,27E+0	
451,31	2,26E+0	
452,816	2,26E+0	
454,325	2,26E+0	
455,834	2,26E+0	
457,343	2,26E+0	
458,852	2,26E+0	
460,358	2,26E+0	
461,867	2,26E+0	
463,376	2,26E+0	
464,885	2,26E+0	
466,393	2,26E+0	
467,899	2,25E+0	
469,408	2,25E+0	
470,917	2,25E+0	
472,426	2,26E+0	
473,934	2,25E+0	
475,441	2,26E+0	
476,95	2,26E+0	
478,459	2,25E+0	
479,968	2,25E+0	
481,477	2,25E+0	
482,983	2,25E+0	
484,492	2,25E+0	
486,001	2,25E+0	
487,51	2,25E+0	
489,019	2,25E+0	
490,525	2,25E+0	
492,034	2,24E+0	
493,543	2,24E+0	
495,052	2,24E+0	
496,56	2,24E+0	
498,066	2,24E+0	
499,575	2,24E+0	
501,084	2,24E+0	
502,593	2,24E+0	
504,101	2,24E+0	
505,608	2,24E+0	
507,117	2,24E+0	
508,626	2,23E+0	
510,135	2,23E+0	
511,644	2,23E+0	
513,15	2,23E+0	
514,659	2,23E+0	
516,168	2,23E+0	
517,677	2,23E+0	
519,184	2,23E+0	
520,691	2,23E+0	
522,2	2,23E+0	
523,709	2,23E+0	
525,218	2,23E+0	
526,726	2,23E+0	
528,232	2,23E+0	
529,741	2,22E+0	
531,25	2,22E+0	
532,759	2,22E+0	
534,267	2,22E+0	
535,774	2,22E+0	
537,286	2,22E+0	
538,795	2,22E+0	
540,303	2,22E+0	
541,811	2,22E+0	
543,316	2,22E+0	
544,825	2,21E+0	
546,334	2,21E+0	
547,843	2,21E+0	
549,35	2,21E+0	
550,857	2,21E+0	
552,366	2,21E+0	
553,875	2,21E+0	
555,384	2,21E+0	
556,892	2,21E+0	
558,399	2,21E+0	
559,905	2,21E+0	
561,414	2,21E+0	
562,923	2,21E+0	
564,431	2,21E+0	
565,938	2,2E+0	
567,445	2,2E+0	
568,954	2,2E+0	
570,463	2,2E+0	
571,972	2,2E+0	
573,479	2,2E+0	
574,987	2,2E+0	
576,496	2,2E+0	
578,005	2,2E+0	
579,514	2,2E+0	
581,022	2,2E+0	
582,529	2,2E+0	
584,038	2,2E+0	
585,547	2,19E+0	
587,055	2,19E+0	
588,563	2,19E+0	
590,071	2,19E+0	
591,581	2,19E+0	
593,09	2,19E+0	
594,599	2,19E+0	
596,107	2,19E+0	
597,613	2,19E+0	
599,122	2,18E+0	
600,631	2,18E+0	
602,14	2,19E+0	
603,649	2,19E+0	
605,155	2,19E+0	
606,664	2,18E+0	
608,173	2,18E+0	
609,682	2,18E+0	
611,19	2,18E+0	
612,697	2,18E+0	
614,205	2,18E+0	
615,714	2,18E+0	
617,223	2,18E+0	
618,732	2,18E+0	
620,238	2,18E+0	
621,747	2,17E+0	
623,256	2,17E+0	
624,765	2,17E+0	
626,274	2,17E+0	
627,783	2,17E+0	
629,292	2,17E+0	
630,801	2,17E+0	
632,309	2,17E+0	
633,817	2,17E+0	
635,326	2,17E+0	
636,835	2,17E+0	
638,343	2,17E+0	
639,852	2,16E+0	
641,361	2,16E+0	
642,87	2,16E+0	
644,378	2,16E+0	
645,887	2,16E+0	
647,396	2,16E+0	
648,904	2,16E+0	
650,413	2,16E+0	
651,922	2,16E+0	
653,431	2,16E+0	
654,939	2,16E+0	
656,446	2,16E+0	
657,955	2,16E+0	
659,465	2,16E+0	
660,974	2,15E+0	
662,482	2,15E+0	
663,991	2,15E+0	
665,504	2,15E+0	
667,013	2,15E+0	
668,521	2,15E+0	
670,028	2,15E+0	
671,537	2,15E+0	
673,046	2,15E+0	
674,555	2,15E+0	
676,065	2,14E+0	
677,571	2,14E+0	
679,08	2,14E+0	
680,589	2,14E+0	
682,098	2,14E+0	
683,605	2,14E+0	
685,112	2,14E+0	
686,621	2,14E+0	
688,13	2,14E+0	
689,639	2,14E+0	
691,147	2,14E+0	
692,654	2,14E+0	
694,163	2,14E+0	
695,672	2,14E+0	
697,181	2,14E+0	
698,69	2,14E+0	
700,196	2,14E+0	
701,705	2,14E+0	
703,214	2,13E+0	
704,723	2,13E+0	
706,232	2,13E+0	
707,738	2,13E+0	
709,247	2,13E+0	
710,756	2,13E+0	
712,265	2,13E+0	
713,773	2,13E+0	
715,28	2,12E+0	
716,789	2,12E+0	
718,3	2,12E+0	
719,809	2,12E+0	
721,316	2,12E+0	
722,825	2,12E+0	
724,334	2,12E+0	
725,843	2,12E+0	
727,353	2,12E+0	
728,859	2,12E+0	
730,368	2,12E+0	
731,877	2,12E+0	
733,386	2,12E+0	
734,894	2,12E+0	
736,401	2,12E+0	
737,91	2,12E+0	
739,419	2,12E+0	
740,928	2,12E+0	
742,436	2,11E+0	
743,943	2,11E+0	
745,452	2,11E+0	
746,961	2,11E+0	
748,47	2,11E+0	
749,978	2,11E+0	
751,486	2,11E+0	
752,995	2,11E+0	
754,504	2,11E+0	
756,013	2,1E+0	
757,524	2,1E+0	
759,03	2,1E+0	
760,539	2,1E+0	
762,048	2,1E+0	
763,556	2,1E+0	
765,065	2,1E+0	
766,572	2,1E+0	
768,081	2,1E+0	
769,59	2,1E+0	
771,098	2,1E+0	
772,605	2,1E+0	
774,113	2,09E+0	
775,622	2,09E+0	
777,131	2,09E+0	
778,64	2,09E+0	
780,147	2,1E+0	
781,654	2,09E+0	
783,163	2,09E+0	
784,672	2,09E+0	
786,18	2,09E+0	
787,687	2,09E+0	
789,194	2,09E+0	
790,703	2,09E+0	
792,212	2,09E+0	
793,72	2,09E+0	
795,227	2,08E+0	
796,733	2,08E+0	
798,242	2,08E+0	
799,751	2,08E+0	
801,26	2,08E+0	
802,767	2,08E+0	
804,274	2,08E+0	
805,783	2,08E+0	
807,292	2,08E+0	
808,801	2,08E+0	
810,308	2,08E+0	
811,815	2,08E+0	
